TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
BIZKAIA,2,022,KARRANTZA HARANA / VALLE DE CARRANZA,2405,1547,12,1535,18,1517,858,929,61,24,0,0,3,1,118,2,4,1,4,3,11,6,,346,,4
BIZKAIA,2,037,GALDAMES,710,529,3,526,7,519,181,297,13,7,0,0,0,0,31,1,0,0,1,6,3,2,,156,,2
BIZKAIA,2,042,GORDEXOLA,1390,1072,21,1051,7,1044,318,620,107,28,5,0,0,0,86,2,2,0,15,6,12,7,,145,,9
BIZKAIA,2,045,GÜEÑES,5093,3786,55,3731,48,3683,1307,1895,171,72,3,2,2,5,464,6,3,3,39,25,29,18,,940,,6
BIZKAIA,2,051,LANESTOSA,219,155,1,154,4,150,64,65,17,1,0,0,0,0,24,1,0,1,3,0,1,1,,34,,2
BIZKAIA,2,071,MUSKIZ,6117,4151,55,4096,50,4046,1966,1793,173,91,4,6,3,3,772,18,2,4,33,23,134,33,,934,,20
BIZKAIA,2,078,PORTUGALETE,39454,25123,229,24894,330,24564,14331,7410,2874,624,40,19,33,7,7725,85,43,18,519,212,997,206,,3635,,117
BIZKAIA,2,080,VALLE DE TRÁPAGA-TRAPAGARAN,10067,6476,86,6390,91,6299,3591,2349,398,104,1,6,6,1,1763,26,7,9,90,21,256,44,,1183,,35
BIZKAIA,2,082,SANTURTZI,38338,23854,188,23666,351,23315,14484,8335,2213,497,22,27,25,9,6154,71,55,37,358,142,944,171,,4179,,76
BIZKAIA,2,083,ORTUELLA,6998,4489,57,4432,65,4367,2509,1627,185,80,5,4,5,3,1214,19,14,3,52,19,166,29,,925,,17
BIZKAIA,2,084,SESTAO,23296,14127,141,13986,194,13792,9169,4405,1338,356,11,14,16,10,4172,56,23,27,155,78,646,159,,2261,,65
BIZKAIA,2,086,SOPUERTA,2068,1408,10,1398,17,1381,660,657,55,22,1,1,1,1,150,3,0,6,15,8,27,9,,422,,3
